"OBSTACLE_IDENTIFIER";"NAME";"HORISONTAL_ACCURACY";"HORISONTAL_ACCURACY_UOM";"LATITUDE";"LONGITUDE";"LATITUDE_DD";"LONGITUDE_DD";"HORISONTAL_RESOLUTION";"HORISONTAL_RESOLUTION_UOM";"HORISONTAL_EXTENT";"ELEVATION";"ELEVATION_UOM";"HEIGHT";"HEIGHT_UOM";"VERTICAL_ACCURACY";"VERTICAL_ACCURACY_UOM";"VERTICAL_EXTENT_ACC";"VERTICAL_EXTENT_ACC_UOM";"VERTICAL_RESOLUTION";"VERTICAL_RESOLUTION_UOM";"OBSTACLE_TYPE";"GEOMETRY_TYPE";"INTEGRITY";"DATESTAMP";"LIGHTING";"LIGHTING_CHARACTER";"MARKING";"STATUS";"REMARKS" 
"2";"BARSEBÄCK/MALMÖ";"10";"M";"554437.3N";"0125517.0E";"55.74368";"12.92139";"0.3";"Seconds";"";"370";"FT";"361";"FT";"5";"M";"5";"M";"1";"M";"STACK";"POINT";"ROUTINE";"20231116";"Y";"FR";"";"COMPLETED";"" 
"9";"HÖRBY 1";"10";"M";"554822.2N";"0134315.7E";"55.80618";"13.72104";"0.3";"Seconds";"";"1582";"FT";"1060";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20231116";"Y";"FR/FLGW";"";"COMPLETED";"" 
"10";"HÖRRÖD";"10";"M";"554715.4N";"0135845.9E";"55.78761";"13.97941";"0.3";"Seconds";"";"946";"FT";"358";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20010920";"Y";"FR";"";"COMPLETED";"" 
"12";"TRELLEBORG";"10";"M";"552321.5N";"0131146.9E";"55.38931";"13.19636";"0.3";"Seconds";"";"434";"FT";"335";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20231116";"Y";"FR";"";"COMPLETED";"" 
"13";"BÖSARP";"10";"M";"552442.4N";"0131730.0E";"55.41177";"13.29168";"0.3";"Seconds";"";"498";"FT";"361";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20010920";"Y";"FR/FLGW";"";"COMPLETED";"" 
"20";"KIVIK";"10";"M";"554005.0N";"0140929.3E";"55.66807";"14.15814";"0.3";"Seconds";"";"923";"FT";"354";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20231116";"Y";"FR";"";"COMPLETED";"Painted" 
"21";"GLIMMINGE";"10";"M";"553004.5N";"0141539.1E";"55.50124";"14.26087";"0.3";"Seconds";"";"587";"FT";"361";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20231116";"Y";"FR";"";"COMPLETED";"" 
"25";"HALMSTAD/OSKARSTRÖM";"10";"M";"564723.9N";"0125616.9E";"56.78997";"12.93804";"0.3";"Seconds";"";"1550";"FT";"1066";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20230110";"Y";"FR/FLGW";"";"COMPLETED";"" 
"26";"HÄLSINGBORG";"10";"M";"560046.6N";"0124244.7E";"56.01295";"12.71242";"0.3";"Seconds";"";"422";"FT";"400";"FT";"5";"M";"5";"M";"1";"M";"STACK";"POINT";"ROUTINE";"20231116";"Y";"FR";"";"COMPLETED";"" 
"46";"KAFFATORP/2";"10";"M";"561422.6N";"0142042.4E";"56.23962";"14.34511";"0.3";"Seconds";"";"915";"FT";"341";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20231116";"Y";"FR";"";"COMPLETED";"Painted" 
"47";"KARLSHAMN/1";"10";"M";"561337.0N";"0144631.2E";"56.22695";"14.77532";"0.3";"Seconds";"";"1330";"FT";"1099";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20231116";"Y";"FLGW";"";"COMPLETED";"" 
"48";"KARLSHAMN STJÄRNÖ";"10";"M";"560911.7N";"0144957.0E";"56.15326";"14.83249";"0.3";"Seconds";"";"471";"FT";"463";"FT";"5";"M";"5";"M";"1";"M";"STACK";"POINT";"ROUTINE";"20231116";"Y";"FR";"";"COMPLETED";"" 
"50";"VISLANDA";"10";"M";"564832.4N";"0142316.7E";"56.80901";"14.38796";"0.3";"Seconds";"";"1353";"FT";"715";"FT";"5";"M";"5";"M";"1";"M";"ANTENNA";"POINT";"ROUTINE";"20010626";"Y";"FR/FLGW";"";"COMPLETED";"" 
