SEP=;
OBST ID;TYPE;COORD;LAT;LONG;HGT AGL (FT);ELEV MSL (FT);LGT TYPE;LGT HR;MARKINGS
EFINOB 10031;Mast;615551.0N 0254354.3E;61.93083059;25.73175845;355;983;F R;HN;Y
EFINOB 10037;Mast;621219.9N 0253819.8E;62.20551801;25.63884318;397;1172;F R;HN;Y
EFINOB 10038;Mast;622100.9N 0253304.5E;62.35026117;25.55124486;337;1092;F R;HN;Y
EFINOB 10047;Mast;621252.3N 0254214.6E;62.21452457;25.70405057;529;1203;F R;HN;Y
EFINOB 10065;Mast;621423.2N 0255359.2E;62.23978266;25.89976587;331;972;FLG W;H24;Y
EFINOB 10110;Mast;611652.9N 0214153.7E;61.28135123;21.69824105;1054;1181;FLG W;H24;Y
EFINOB 10111;Mast;612850.4N 0213408.8E;61.48067898;21.5691118;591;640;FLG W;H24;Y
EFINOB 10112;Mast;614800.4N 0222221.2E;61.80011248;22.37256851;361;678;F R;HN;Y
EFINOB 10116;Mast;611144.6N 0222831.3E;61.19572176;22.47537319;344;569;F R;HN;Y
EFINOB 10117;Mast;612336.3N 0215135.6E;61.3934194;21.85990151;358;564;F R;HN;Y
EFINOB 10121;Chimney;613754.2N 0212416.1E;61.63172052;21.40446484;494;507;F R;HN;NIL
EFINOB 10145;Mast;611433.4N 0212550.5E;61.24261493;21.43069464;350;389;F R;HN;Y
EFINOB 10156;Chimney;611410.2N 0212633.1E;61.23615687;21.44253554;345;356;F R;HN;NIL
EFINOB 10157;Chimney;611413.5N 0212645.6E;61.23709604;21.44600093;345;357;F R;HN;NIL
EFINOB 10202;Chimney;612919.8N 0214905.5E;61.48882158;21.81819878;415;426;F R;HN;NIL
EFINOB 10217;Mast;602649.4N 0221955.9E;60.4470536;22.33220701;442;628;F R;HN;NIL
EFINOB 10218;Mast;602359.6N 0221745.8E;60.39987717;22.29605173;458;614;F R;HN;Y
